x   y 
0.0202551 -0.00113645
0.0210053 -0.00118569
0.0217554 -6.69323e-05
0.0225056 -0.000418246
0.0232558 -0.000207094
0.024006 0.000629215
0.0247562 0.000802329
0.0255064 0.000165992
0.0262566 -0.00117016
0.0270068 -0.00135155
0.0277569 -0.00082889
0.0285071 -0.00158412
0.0292573 -0.000522857
0.0300075 -0.00159179
0.0307577 -0.00169675
0.0315079 -0.000431544
0.0322581 -0.00125442
0.0330083 -0.00115902
0.0337584 -0.000875663
0.0345086 -0.00142102
0.0352588 0.000832269
0.036009 0.00185749
0.0367592 0.00233989
0.0375094 0.00185518
0.0382596 0.00149235
0.0390098 0.00053021
0.0397599 0.00162187
0.0405101 -0.0017519
0.0412603 -0.00231119
0.0420105 -0.00179521
0.0427607 -0.00202845
0.0435109 -0.00183283
0.0442611 -0.00343159
0.0450113 -0.00421912
0.0457614 -0.00260837
0.0465116 -0.00190326
0.0472618 -0.00234789
0.048012 -0.0035121
0.0487622 -0.00350076
0.0495124 -0.00309637
0.0502626 -0.00216249
0.0510128 -0.00356757
0.0517629 -0.00636809
0.0525131 -0.00584997
0.0532633 -0.00523436
0.0540135 -0.0070691
0.0547637 -0.00510193
0.0555139 -0.00490515
0.0562641 -0.00503799
0.0570143 -0.00479712
0.0577644 -0.00405702
0.0585146 -0.00514564
0.0592648 -0.00582464
0.060015 -0.00613949
0.0607652 -0.00749799
0.0615154 -0.00807922
0.0622656 -0.00895113
0.0630158 -0.00986178
0.0637659 -0.00981141
0.0645161 -0.00963463
0.0652663 -0.00828816
0.0660165 -0.00844665
0.0667667 -0.00779581
0.0675169 -0.00739358
0.0682671 -0.00828581
0.0690173 -0.00930128
0.0697674 -0.00769548
0.0705176 -0.00805225
0.0712678 -0.00859687
0.072018 -0.00863334
0.0727682 -0.00844197
0.0735184 -0.00841702
0.0742686 -0.0079067
0.0750188 -0.00626997
0.0757689 -0.00636017
0.0765191 -0.00692477
0.0772693 -0.00683676
0.0780195 -0.00635447
0.0787697 -0.00646072
0.0795199 -0.00472149
0.0802701 -0.00215897
0.0810203 -0.00298006
0.0817704 -0.00121577
0.0825206 6.54197e-05
0.0832708 -0.000571766
0.084021 -0.000324442
0.0847712 0.000267659
0.0855214 8.03457e-05
0.0862716 0.000114139
0.0870218 -0.000234032
0.0877719 -0.00134334
0.0885221 -0.00143294
0.0892723 -0.00120907
0.0900225 -0.0013142
0.0907727 -0.00226402
0.0915229 -0.00242306
0.0922731 -0.00136429
0.0930233 0.00120766
0.0937734 0.000837058
0.0945236 0.000426147
0.0952738 0.00317394
0.096024 0.00184097
0.0967742 0.00226262
0.0975244 0.00270713
0.0982746 0.00505734
0.0990248 0.00666226
0.0997749 0.00754111
0.100525 0.00824584
0.101275 0.00720803
0.102026 0.00797569
0.102776 0.00832812
0.103526 0.00928435
0.104276 0.0111302
0.105026 0.0114391
0.105776 0.0108995
0.106527 0.0109104
0.107277 0.0113886
0.108027 0.0111258
0.108777 0.0126792
0.109527 0.013676
0.110278 0.0132751
0.111028 0.013273
0.111778 0.0135949
0.112528 0.0141359
0.113278 0.0136225
0.114029 0.0140226
0.114779 0.0132963
0.115529 0.0126057
0.116279 0.0126061
0.117029 0.0126446
0.117779 0.0130537
0.11853 0.0112368
0.11928 0.0115916
0.12003 0.0122748
0.12078 0.0105314
0.12153 0.00937632
0.122281 0.00742931
0.123031 0.006741
0.123781 0.00585206
0.124531 0.00599376
0.125281 0.00654227
0.126032 0.00532602
0.126782 0.0057076
0.127532 0.00583649
0.128282 0.00592186
0.129032 0.00661199
0.129782 0.00790128
0.130533 0.00947492
0.131283 0.0102865
0.132033 0.010913
0.132783 0.0112266
0.133533 0.0107799
0.134284 0.00957183
0.135034 0.00916676
0.135784 0.00854149
0.136534 0.00645517
0.137284 0.00609486
0.138035 0.00515736
0.138785 0.00463125
0.139535 0.0028423
0.140285 0.000131354
0.141035 -0.00073431
0.141785 -0.0013739
0.142536 -0.0010862
0.143286 -0.00126321
0.144036 -0.00177245
0.144786 -0.00154282
0.145536 -0.00358752
0.146287 -0.00416612
0.147037 -0.00394639
0.147787 -0.00473606
0.148537 -0.00491026
0.149287 -0.00369284
0.150038 -0.00484011
0.150788 -0.00548256
0.151538 -0.00439563
0.152288 -0.00488579
0.153038 -0.00500582
0.153788 -0.00440613
0.154539 -0.00459842
0.155289 -0.00624817
0.156039 -0.00443452
0.156789 -0.00452379
0.157539 -0.00639503
0.15829 -0.00583001
0.15904 -0.00486746
0.15979 -0.00288289
0.16054 -0.00238025
0.16129 -0.00202201
0.162041 -0.00209751
0.162791 -0.00120737
0.163541 0.000277072
0.164291 0.00160558
0.165041 0.00213941
0.165791 0.00228629
0.166542 0.00288353
0.167292 0.00349901
0.168042 0.00182344
0.168792 0.00146422
0.169542 0.00177755
0.170293 0.0023805
0.171043 0.00314316
0.171793 0.00366565
0.172543 0.00542506
0.173293 0.00794139
0.174044 0.00929668
0.174794 0.00820184
0.175544 0.00785542
0.176294 0.00697185
